OG	geneID	spc
OG0000002	102400351	Bbub
OG0000002	102411314	Bbub
OG0000002	102410332	Bbub
OG0000002	112587905	Bbub
OG0000002	102413952	Bbub
OG0000002	102411659	Bbub
OG0000002	112587908	Bbub
OG0000002	112587907	Bbub
OG0000002	102414630	Bbub
OG0000002	102171944	Chir
OG0000002	108636046	Chir
OG0000002	106501929	Chir
OG0000002	108633254	Chir
OG0000002	102171676	Chir
OG0000002	106503501	Chir
OG0000002	102178027	Chir
OG0000002	102178586	Chir
OG0000002	108633413	Chir
OG0000002	102181383	Chir
OG0000002	102179469	Chir
OG0000002	102180034	Chir
OG0000002	106501778	Chir
OG0000002	102182458	Chir
OG0000002	102178870	Chir
OG0000002	102181640	Chir
OG0000002	102185049	Chir
OG0000002	113887668	Hbin
OG0000002	113892517	Hbin
OG0000002	113888120	Hbin
OG0000002	113887714	Hbin
OG0000002	113887698	Hbin
OG0000002	113887674	Hbin
OG0000002	113880713	Hbin
OG0000002	113881677	Hbin
OG0000002	113881688	Hbin
OG0000002	113881676	Hbin
OG0000002	113903035	Hbin
OG0000002	113881687	Hbin
OG0000002	113881678	Hbin
OG0000002	113881681	Hbin
OG0000002	113881679	Hbin
OG0000002	113881680	Hbin
OG0000002	113881683	Hbin
OG0000002	113881685	Hbin
OG0000002	113881684	Hbin
OG0000002	113881674	Hbin
OG0000002	113896536	Hbin
OG0000002	113875104	Hbin
OG0000002	614974	Hbta
OG0000002	618489	Hbta
OG0000002	788724	Hbta
OG0000002	100297758	Hbta
OG0000002	541108	Hbta
OG0000002	513666	Hbta
OG0000002	524236	Hbta
OG0000002	104975684	Hbta
OG0000002	616634	Hbta
OG0000002	616790	Hbta
OG0000002	524176	Hbta
OG0000002	783767	Hbta
OG0000002	104968446	Hbta
OG0000002	529277	Hbta
OG0000002	614970	Hbta
OG0000002	618824	Hbta
OG0000002	524808	Hbta
OG0000002	104975683	Hbta
OG0000002	506900	Hbta
OG0000002	538911	Hbta
