yourlist:M20210221A94466D2655679D1FD8953E075198DA8046206A	Entry
390264	A0A126GWS5
390093	Q8NH74
390093	A0A126GVN8
26496	P58181
26496	A0A126GVZ2
10224	Q9Y2A4
90576	Q96GE5
90576	D3YTF2
79973	Q9H7R0
147837	Q8TA94
51710	P15621
51710	F8W7T7
55552	P16415
126068	Q8N8Z8
126069	Q8N8L2
126070	Q8IYI8
7620	Q9UC07
90594	Q8NDP4
90594	A0A0C4DG37
90592	Q9H0M5
90592	A0A087WVH9
284390	Q0D2J5
284391	Q08AG5
284391	B4DSG8
163059	Q8N7K0
163059	A0A024R7H6
90589	Q96I27
7568	P17024
199692	Q7L945
163049	Q3KP31
163051	Q8N972
57474	Q9ULM2
7561	P17017
729747	C9JN71
163050	Q8TBZ8
7695	P52737
7695	A0A494C0J2
7695	B4DS70
7678	Q15973
7678	J3QKQ6
79862	Q96BR6
93474	Q9BS34
94039	Q8IZC7
100130086,100506164	Q9UBD0
100130086,100506164	A0A140VK21
159119,86614	Q96LI6
491	Q01814
491	A0A024R2E4
491	Q4LE63
492	Q16720
490	P20020
490	A0A024RBC7
493	P23634
493	A0A024R968
120065	Q8WZ92
120065	A0A126GVJ7
8793	Q9UBN6
8794	O14798
8797	O00220
8795	O14763
8795	Q7Z2I8
283111	Q9H2C8
390154	Q8NGG3
390155	Q8NG75
390155	A0A126GVL6
219464	Q8NGG2
442191	Q9UGF5
442191	A0A126GW10
56136	Q9Y5I0
56138	Q9Y5I1
56147	Q9Y5I3
56146	Q9Y5H9
56143	Q9Y5H7
56140	Q9Y5H6
56142	Q9UN73
56137	Q9UN75
56139	Q9Y5I2
56144	Q9UN74
56144	Q59H34
56141	Q9UN72
9752	Q9Y5H5
56145	Q9Y5H8
100049587	Q08ET2
8778	O15389
10965	P49753
641371	Q86TX2
641371	E9KL42
122970	Q8N9L9
641372	Q3I5F7
26707	O76002
26707	A0A126GWS4
442185	Q9GZK6
442186	O76001
442186	A0A126GWT2
3006	P16403
3009	P16401
3007	P16402
3008	P10412
3008	A3R0T8
340273	Q2M3G0
340273	A0A024RA03
5244	P21439
